Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	Option=Solar Thermal	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	Natural Gas	TN	0.37969	0	0.62031	0	0	0	0	2	11058.8	175	848191
Multi-Family with 2 - 4 Units	Natural Gas	TN	0.380137	0	0.619863	0	0	0	0	6	39982.8	10	72697.4
Multi-Family with 5+ Units	Natural Gas	TN	0.380137	0	0.619863	0	0	0	0	4	32714.6	10	72697.4
Single-Family Attached	Natural Gas	TN	0.292947	0	0.707053	0	0	0	0	16	34042	16	34042
Single-Family Detached	Natural Gas	TN	0.374825	0	0.625175	0	0	0	0	157	803091	157	803091
Mobile Home	Natural Gas	TX	0.419624	0	0.580376	0	0	0	0	10	129162	10	129162
Multi-Family with 2 - 4 Units	Natural Gas	TX	0.0658564	0	0.934144	0	0	0	0	9	96582.1	27	366345
Multi-Family with 5+ Units	Natural Gas	TX	0.0486531	0	0.951347	0	0	0	0	18	269763	18	269763
Single-Family Attached	Natural Gas	TX	0.375577	0	0.624423	0	0	0	0	24	110329	24	110329
Single-Family Detached	Natural Gas	TX	0.172807	0	0.827193	0	0	0	0	396	3.67468e+06	396	3.67468e+06
Mobile Home	Natural Gas	UT	0.0590814	0	0.940919	0	0	0	0	5	24768.5	160	789701
Multi-Family with 2 - 4 Units	Natural Gas	UT	0.115856	0	0.772617	0	0.111527	0	0	3	33783.4	10	108946
Multi-Family with 5+ Units	Natural Gas	UT	0.115856	0	0.772617	0	0.111527	0	0	7	75162.8	10	108946
Single-Family Attached	Natural Gas	UT	0.13583	0	0.86417	0	0	0	0	18	79668	18	79668
Single-Family Detached	Natural Gas	UT	0.0522941	0	0.947706	0	0	0	0	137	685265	137	685265
Mobile Home	Natural Gas	VA	0.217833	0	0.776171	0	0.0059964	0	0	0	0	155	990349
Multi-Family with 2 - 4 Units	Natural Gas	VA	0.20913	0	0.79087	0	0	0	0	3	19821.5	21	191150
Multi-Family with 5+ Units	Natural Gas	VA	0.233324	0	0.766676	0	0	0	0	18	171329	18	171329
Single-Family Attached	Natural Gas	VA	0.234438	0	0.765562	0	0	0	0	27	135240	27	135240
Single-Family Detached	Natural Gas	VA	0.215207	0	0.777849	0	0.00694476	0	0	128	855109	128	855109
Mobile Home	Natural Gas	VT	0.107148	0	0.892852	0	0	0	0	0	0	38	32467
Multi-Family with 2 - 4 Units	Natural Gas	VT	0.0586674	0	0.941333	0	0	0	0	6	9513.31	15	22386.3
Multi-Family with 5+ Units	Natural Gas	VT	0.0586674	0	0.941333	0	0	0	0	9	12873	15	22386.3
Single-Family Attached	Natural Gas	VT	0.107148	0	0.892852	0	0	0	0	7	4287.12	38	32467
Single-Family Detached	Natural Gas	VT	0.0755592	0	0.924441	0	0	0	0	31	28179.9	31	28179.9
Mobile Home	Natural Gas	WA	0.135998	0	0.864002	0	0	0	0	3	20300.9	170	1.01495e+06
Multi-Family with 2 - 4 Units	Natural Gas	WA	0.116254	0	0.883746	0	0	0	0	1	10301.6	116	1.64707e+06
Multi-Family with 5+ Units	Natural Gas	WA	0.116254	0	0.883746	0	0	0	0	8	60355.7	116	1.64707e+06
Single-Family Attached	Natural Gas	WA	0.138774	0	0.861226	0	0	0	0	5	21745.7	167	994654
Single-Family Detached	Natural Gas	WA	0.141875	0	0.858125	0	0	0	0	162	972908	162	972908
Mobile Home	Natural Gas	WI	0.18762	0	0.808202	0	0	0.00417785	0	6	42644	228	1.39611e+06
Multi-Family with 2 - 4 Units	Natural Gas	WI	0.361031	0	0.638969	0	0	0	0	7	80827.7	32	309664
Multi-Family with 5+ Units	Natural Gas	WI	0.443987	0	0.556013	0	0	0	0	25	228837	25	228837
Single-Family Attached	Natural Gas	WI	0.191681	0	0.808319	0	0	0	0	27	88504.9	27	88504.9
Single-Family Detached	Natural Gas	WI	0.165351	0	0.830038	0	0	0.004611	0	195	1.26496e+06	195	1.26496e+06
Mobile Home	Natural Gas	WV	0.405348	0	0.581212	0	0.0134408	0	0	4	17040.1	78	272986
Multi-Family with 2 - 4 Units	Natural Gas	WV	0.286254	0	0.713746	0	0	0	0	5	14248.2	165	1.04058e+06
Multi-Family with 5+ Units	Natural Gas	WV	0.286254	0	0.713746	0	0	0	0	3	14348.4	165	1.04058e+06
Single-Family Attached	Natural Gas	WV	0.365757	0	0.619907	0	0.0143356	0	0	4	11913.4	74	255946
Single-Family Detached	Natural Gas	WV	0.383613	0	0.601351	0	0.0150355	0	0	70	244033	70	244033
Mobile Home	Natural Gas	WY	0.343044	0	0.656956	0	0	0	0	10	11084.5	10	11084.5
Multi-Family with 2 - 4 Units	Natural Gas	WY	0.215074	0	0.784926	0	0	0	0	3	4945.41	10	19126
Multi-Family with 5+ Units	Natural Gas	WY	0.215074	0	0.784926	0	0	0	0	7	14180.6	10	19126
Single-Family Attached	Natural Gas	WY	0	0	1	0	0	0	0	10	8348.33	10	8348.33
Single-Family Detached	Natural Gas	WY	0.146961	0	0.853039	0	0	0	0	108	120973	108	120973
Mobile Home	None	AK	0.283741	0.0113069	0.597969	0	0.0361519	0.0708317	0	0	0	258	939529
Multi-Family with 2 - 4 Units	None	AK	0.368784	0.000879871	0.589624	0	0.0142603	0.026451	0	0	0	145	1.21631e+06
Multi-Family with 5+ Units	None	AK	0.368784	0.000879871	0.589624	0	0.0142603	0.026451	0	2	1985.25	145	1.21631e+06
Single-Family Attached	None	AK	0.283741	0.0113069	0.597969	0	0.0361519	0.0708317	0	1	673.015	258	939529
Single-Family Detached	None	AK	0.283741	0.0113069	0.597969	0	0.0361519	0.0708317	0	0	0	258	939529
Mobile Home	None	AL	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	1	7985.57	167	1.68258e+06
Multi-Family with 2 - 4 Units	None	AL	0.84964	0.0136685	0.120469	0	0.00847089	0	0.00775168	0	0	102	1.39304e+06
Multi-Family with 5+ Units	None	AL	0.84964	0.0136685	0.120469	0	0.00847089	0	0.00775168	1	12616.2	102	1.39304e+06
Single-Family Attached	None	AL	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	0	0	167	1.68258e+06
Single-Family Detached	None	AL	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	0	0	167	1.68258e+06
Mobile Home	None	AR	0.549451	0	0.450549	0	0	0	0	1	5000.56	36	306788
Multi-Family with 2 - 4 Units	None	AR	0.698822	0.0640316	0.190878	0	0.0462679	0	0	1	6060.71	22	255042
Multi-Family with 5+ Units	None	AR	0.698822	0.0640316	0.190878	0	0.0462679	0	0	1	8937.95	22	255042
Single-Family Attached	None	AR	0.549451	0	0.450549	0	0	0	0	0	0	36	306788
Single-Family Detached	None	AR	0.549451	0	0.450549	0	0	0	0	1	2897.38	36	306788
Mobile Home	None	AZ	0.583344	0	0.341603	0	0.075053	0	0	5	30985.4	28	149067
Multi-Family with 2 - 4 Units	None	AZ	0.692562	0	0.307438	0	0	0	0	3	26261.1	13	106920
Multi-Family with 5+ Units	None	AZ	0.799813	0	0.200187	0	0	0	0	10	80658.8	10	80658.8
Single-Family Attached	None	AZ	0.568758	0	0.431242	0	0	0	0	2	6412.89	23	118081
Single-Family Detached	None	AZ	0.571004	0	0.428996	0	0	0	0	21	111669	21	111669
Mobile Home	None	CA	0.105556	0.0161686	0.853614	0	0.0246614	0	0	3	40926.9	58	615399
Multi-Family with 2 - 4 Units	None	CA	0.294651	0	0.645968	0	0.0593817	0	0	15	222098	15	222098
Multi-Family with 5+ Units	None	CA	0.292855	0	0.682797	0	0	0.0243472	0	48	772134	48	772134
Single-Family Attached	None	CA	0.266836	0	0.733164	0	0	0	0	21	169177	21	169177
Single-Family Detached	None	CA	0.0488938	0	0.91366	0	0.0374457	0	0	34	405295	34	405295
Mobile Home	None	CO	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	CO	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	1	12849.8	163	1.36857e+06
Multi-Family with 5+ Units	None	CO	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	1	7472.38	163	1.36857e+06
Single-Family Attached	None	CO	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Single-Family Detached	None	CO	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Mobile Home	None	CT	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	CT	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	CT	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Single-Family Attached	None	CT	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	CT	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	DC	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	DC	0.880424	0.00244294	0.107398	0	0	0	0.00973453	0	0	76	1.10929e+06
Multi-Family with 5+ Units	None	DC	0.880424	0.00244294	0.107398	0	0	0	0.00973453	3	4401.24	76	1.10929e+06
Single-Family Attached	None	DC	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	2	1979.99	127	1.3544e+06
Single-Family Detached	None	DC	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Mobile Home	None	DE	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	DE	0.880424	0.00244294	0.107398	0	0	0	0.00973453	1	2709.92	76	1.10929e+06
Multi-Family with 5+ Units	None	DE	0.880424	0.00244294	0.107398	0	0	0	0.00973453	0	0	76	1.10929e+06
Single-Family Attached	None	DE	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Single-Family Detached	None	DE	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Mobile Home	None	FL	0.887195	0	0.0879793	0	0.0158802	0.00894556	0	5	65799.8	110	1.25012e+06
Multi-Family with 2 - 4 Units	None	FL	0.842261	0	0.157739	0	0	0	0	14	170924	14	170924
Multi-Family with 5+ Units	None	FL	0.919525	0	0.0804753	0	0	0	0	48	841207	48	841207
Single-Family Attached	None	FL	1	0	0	0	0	0	0	20	180387	20	180387
Single-Family Detached	None	FL	0.859533	0	0.109554	0	0.0197744	0.0111392	0	85	1.00393e+06	85	1.00393e+06
Mobile Home	None	GA	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	1	11253.4	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	GA	0.880424	0.00244294	0.107398	0	0	0	0.00973453	1	6748.48	76	1.10929e+06
Multi-Family with 5+ Units	None	GA	0.880424	0.00244294	0.107398	0	0	0	0.00973453	1	15582.2	76	1.10929e+06
Single-Family Attached	None	GA	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Single-Family Detached	None	GA	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	3	23752.7	127	1.3544e+06
Mobile Home	None	HI	0.622734	0	0.0846498	0	0.0644267	0.22819	0	0	0	194	291637
Multi-Family with 2 - 4 Units	None	HI	0.656886	0	0.210256	0	0.0702735	0.0625845	0	13	29212.3	13	29212.3
Multi-Family with 5+ Units	None	HI	0.750344	0	0.141416	0	0.016682	0.0915575	0	59	126096	59	126096
Single-Family Attached	None	HI	0.774322	0	0.0361602	0	0.0763593	0.113158	0	27	30153.8	27	30153.8
Single-Family Detached	None	HI	0.605253	0	0.0902416	0	0.0630507	0.241455	0	167	261483	167	261483
Mobile Home	None	IA	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	IA	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	IA	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Single-Family Attached	None	IA	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	IA	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	ID	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	ID	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	0	0	163	1.36857e+06
Multi-Family with 5+ Units	None	ID	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	0	0	163	1.36857e+06
Single-Family Attached	None	ID	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Single-Family Detached	None	ID	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Mobile Home	None	IL	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	IL	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	IL	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	2	22602.7	284	2.9234e+06
Single-Family Attached	None	IL	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	IL	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	2	20174.7	467	2.86683e+06
Mobile Home	None	IN	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	IN	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	IN	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Single-Family Attached	None	IN	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	1	2785.8	467	2.86683e+06
Single-Family Detached	None	IN	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	1	7641.31	467	2.86683e+06
Mobile Home	None	KS	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	KS	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	KS	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Single-Family Attached	None	KS	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	KS	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	KY	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	0	0	167	1.68258e+06
Multi-Family with 2 - 4 Units	None	KY	0.84964	0.0136685	0.120469	0	0.00847089	0	0.00775168	0	0	102	1.39304e+06
Multi-Family with 5+ Units	None	KY	0.84964	0.0136685	0.120469	0	0.00847089	0	0.00775168	2	10032.4	102	1.39304e+06
Single-Family Attached	None	KY	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	0	0	167	1.68258e+06
Single-Family Detached	None	KY	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	0	0	167	1.68258e+06
Mobile Home	None	LA	0.549451	0	0.450549	0	0	0	0	0	0	36	306788
Multi-Family with 2 - 4 Units	None	LA	0.698822	0.0640316	0.190878	0	0.0462679	0	0	1	5171.96	22	255042
Multi-Family with 5+ Units	None	LA	0.698822	0.0640316	0.190878	0	0.0462679	0	0	1	5377.75	22	255042
Single-Family Attached	None	LA	0.549451	0	0.450549	0	0	0	0	1	2469.96	36	306788
Single-Family Detached	None	LA	0.549451	0	0.450549	0	0	0	0	7	38508.2	36	306788
Mobile Home	None	MA	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	MA	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	MA	0.487544	0.0189856	0.493471	0	0	0	0	1	6242.27	11	96572.5
Single-Family Attached	None	MA	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	MA	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	1	4080.66	467	2.86683e+06
Mobile Home	None	MD	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	MD	0.880424	0.00244294	0.107398	0	0	0	0.00973453	1	6615.49	76	1.10929e+06
Multi-Family with 5+ Units	None	MD	0.880424	0.00244294	0.107398	0	0	0	0.00973453	2	20279.7	76	1.10929e+06
Single-Family Attached	None	MD	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Single-Family Detached	None	MD	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	3	16289.4	127	1.3544e+06
Mobile Home	None	ME	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	ME	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	ME	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Single-Family Attached	None	ME	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	ME	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	MI	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	MI	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	MI	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Single-Family Attached	None	MI	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	MI	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	MN	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	MN	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	MN	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Single-Family Attached	None	MN	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	MN	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	MO	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	MO	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	MO	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Single-Family Attached	None	MO	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	MO	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	1	15343	467	2.86683e+06
Mobile Home	None	MS	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	0	0	167	1.68258e+06
Multi-Family with 2 - 4 Units	None	MS	0.84964	0.0136685	0.120469	0	0.00847089	0	0.00775168	0	0	102	1.39304e+06
Multi-Family with 5+ Units	None	MS	0.84964	0.0136685	0.120469	0	0.00847089	0	0.00775168	0	0	102	1.39304e+06
Single-Family Attached	None	MS	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	0	0	167	1.68258e+06
Single-Family Detached	None	MS	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	1	4746.43	167	1.68258e+06
Mobile Home	None	MT	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	MT	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	0	0	163	1.36857e+06
Multi-Family with 5+ Units	None	MT	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	0	0	163	1.36857e+06
Single-Family Attached	None	MT	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Single-Family Detached	None	MT	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Mobile Home	None	NC	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	NC	0.880424	0.00244294	0.107398	0	0	0	0.00973453	0	0	76	1.10929e+06
Multi-Family with 5+ Units	None	NC	0.880424	0.00244294	0.107398	0	0	0	0.00973453	2	22032.9	76	1.10929e+06
Single-Family Attached	None	NC	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Single-Family Detached	None	NC	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	2	20572.3	127	1.3544e+06
Mobile Home	None	ND	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	ND	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	ND	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	2	3127.58	284	2.9234e+06
Single-Family Attached	None	ND	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	ND	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	NE	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	NE	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	NE	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Single-Family Attached	None	NE	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	NE	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	1	5009.9	467	2.86683e+06
Mobile Home	None	NH	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	NH	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	NH	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Single-Family Attached	None	NH	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	NH	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	NJ	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	NJ	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	NJ	0.487544	0.0189856	0.493471	0	0	0	0	2	16979.5	11	96572.5
Single-Family Attached	None	NJ	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	NJ	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	NM	0.589314	0	0.341693	0	0.0689929	0	0	0	0	31	162161
Multi-Family with 2 - 4 Units	None	NM	0.682824	0	0.317176	0	0	0	0	0	0	16	131938
Multi-Family with 5+ Units	None	NM	0.682824	0	0.317176	0	0	0	0	0	0	16	131938
Single-Family Attached	None	NM	0.589314	0	0.341693	0	0.0689929	0	0	0	0	31	162161
Single-Family Detached	None	NM	0.589314	0	0.341693	0	0.0689929	0	0	0	0	31	162161
Mobile Home	None	NV	0.589314	0	0.341693	0	0.0689929	0	0	1	4487.39	31	162161
Multi-Family with 2 - 4 Units	None	NV	0.682824	0	0.317176	0	0	0	0	1	8976.23	16	131938
Multi-Family with 5+ Units	None	NV	0.682824	0	0.317176	0	0	0	0	2	16041.7	16	131938
Single-Family Attached	None	NV	0.589314	0	0.341693	0	0.0689929	0	0	1	3690.32	31	162161
Single-Family Detached	None	NV	0.589314	0	0.341693	0	0.0689929	0	0	1	4915.98	31	162161
Mobile Home	None	NY	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	1	10894.8	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	NY	0.487544	0.0189856	0.493471	0	0	0	0	1	14522.7	11	96572.5
Multi-Family with 5+ Units	None	NY	0.487544	0.0189856	0.493471	0	0	0	0	6	56994.5	11	96572.5
Single-Family Attached	None	NY	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	NY	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	OH	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	OH	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	OH	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	1	23564.5	284	2.9234e+06
Single-Family Attached	None	OH	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	OH	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	OK	0.549451	0	0.450549	0	0	0	0	1	7153.03	36	306788
Multi-Family with 2 - 4 Units	None	OK	0.698822	0.0640316	0.190878	0	0.0462679	0	0	1	8369.42	22	255042
Multi-Family with 5+ Units	None	OK	0.698822	0.0640316	0.190878	0	0.0462679	0	0	3	33396.9	22	255042
Single-Family Attached	None	OK	0.549451	0	0.450549	0	0	0	0	0	0	36	306788
Single-Family Detached	None	OK	0.549451	0	0.450549	0	0	0	0	0	0	36	306788
Mobile Home	None	OR	0.131286	0.0153736	0.829892	0	0.0234489	0	0	0	0	63	647220
Multi-Family with 2 - 4 Units	None	OR	0.315233	0	0.654562	0	0.0124536	0.0177517	0	1	5476.55	71	1.05902e+06
